Date-Time,FC_V (V),FCT1 (C),H2P1 (B),DCDCV,FC_A (A),FCT2 (C),H2P2 (B),DCDCA,FC_W (W),FAN (%),Tank-P (B),DCDCW,ENERGY (Wh),BLW (%),Tank-T (C),BattV (V),Stasis_Select,IP(V),TP(V),No_of_Cell,Remark
11/14/25-14:16:08,73.20,40.04,0.54,XX.X,0.33,41.70,0.49,XX.X,23.9,0,0.0,XXXX.X,0,0,0.00,29.69,
11/14/25-14:16:12,73.08,40.04,0.55,XX.X,0.33,41.60,0.48,XX.X,23.8,0,0.0,XXXX.X,0,0,0.00,29.69,
11/14/25-14:16:17,72.61,40.04,0.55,XX.X,0.33,41.50,0.46,XX.X,23.7,0,0.0,XXXX.X,0,0,0.00,29.59,
11/14/25-14:16:22,72.61,40.04,0.55,XX.X,0.33,41.41,0.43,XX.X,23.7,0,0.0,XXXX.X,0,0,0.00,29.59,
11/14/25-14:16:27,72.72,39.94,0.55,XX.X,0.33,41.31,0.41,XX.X,23.7,0,0.0,XXXX.X,0,0,0.00,29.69,
11/14/25-14:16:32,72.61,39.94,0.55,XX.X,0.33,41.21,0.39,XX.X,23.7,0,0.0,XXXX.X,0,0,0.00,29.69,
11/14/25-14:16:37,72.37,39.94,0.55,XX.X,0.33,41.11,0.37,XX.X,23.6,0,0.0,XXXX.X,0,0,0.00,29.59,
11/14/25-14:16:42,72.37,39.94,0.55,XX.X,0.33,41.02,0.36,XX.X,23.6,0,0.0,XXXX.X,0,0,0.00,29.69,
11/14/25-14:16:46,72.02,39.94,0.55,XX.X,0.33,40.92,0.34,XX.X,23.5,0,0.0,XXXX.X,0,0,0.00,29.59,
11/14/25-14:16:50,72.25,39.84,0.55,XX.X,0.33,40.92,0.33,XX.X,23.6,0,0.0,XXXX.X,0,0,0.00,29.69,
11/14/25-14:16:57,71.90,39.84,0.55,XX.X,0.33,40.82,0.30,XX.X,23.5,0,0.0,XXXX.X,0,0,0.00,29.59,
11/14/25-14:17:03,71.78,39.84,0.55,XX.X,0.33,40.72,0.28,XX.X,23.4,0,0.0,XXXX.X,0,0,0.00,29.59,
11/14/25-14:17:08,71.54,39.84,0.55,XX.X,0.33,40.72,0.26,XX.X,23.3,0,0.0,XXXX.X,0,0,0.00,29.59,
11/14/25-14:23:19,75.81,37.89,0.53,XX.X,0.21,37.50,0.52,XX.X,15.7,41,0.0,XXXX.X,0,28,0.00,29.91,
11/14/25-14:23:20,75.69,37.89,0.52,XX.X,0.21,37.50,0.52,XX.X,15.6,39,0.0,XXXX.X,0,28,0.00,29.91,
11/14/25-14:23:22,75.69,37.89,0.52,XX.X,0.21,37.40,0.52,XX.X,15.6,37,0.0,XXXX.X,0,28,0.00,30.02,
11/14/25-14:23:23,75.69,37.79,0.52,XX.X,0.21,37.40,0.51,XX.X,15.6,35,0.0,XXXX.X,0,28,0.00,30.02,
11/14/25-14:23:24,75.69,37.70,0.51,XX.X,0.21,37.40,0.51,XX.X,15.6,33,0.0,XXXX.X,0,28,0.00,30.02,
11/14/25-14:23:24,75.69,37.70,0.51,XX.X,0.21,37.30,0.51,XX.X,15.6,32,0.0,XXXX.X,0,28,0.00,30.02,
11/14/25-14:23:25,75.69,37.70,0.51,XX.X,0.21,37.30,0.51,XX.X,15.6,32,0.0,XXXX.X,0,28,0.00,30.02,
11/14/25-14:23:26,75.69,37.60,0.51,XX.X,0.21,37.21,0.50,XX.X,15.6,29,0.0,XXXX.X,0,28,0.00,30.02,
11/14/25-14:23:27,75.69,37.50,0.50,XX.X,0.21,37.21,0.50,XX.X,15.6,27,0.0,XXXX.X,0,28,0.00,30.02,
11/14/25-14:23:28,75.69,37.40,0.50,XX.X,0.21,37.11,0.50,XX.X,15.6,24,0.0,XXXX.X,0,28,0.00,30.02,
11/14/25-14:23:28,75.69,37.30,0.50,XX.X,0.21,37.11,0.50,XX.X,15.6,24,0.0,XXXX.X,0,78,0.00,30.02,
11/14/25-14:23:29,75.81,37.30,0.50,XX.X,0.21,37.01,0.50,XX.X,15.7,24,0.0,XXXX.X,0,78,0.00,30.02,
11/14/25-14:23:30,76.04,37.11,0.49,XX.X,0.21,36.91,0.49,XX.X,15.7,24,0.0,XXXX.X,0,78,0.00,29.91,
